2019-04-13 08:57:36.442  INFO [aps-server,,,] 20668 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$471510d1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-13 09:01:02.062  INFO [aps-server,,,] 23580 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_APS-SERVER/windows10.microdone.cn:aps-server:3111: registering service...
2019-04-13 09:01:02.090  INFO [aps-server,,,] 23580 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2019-04-13 09:01:02.104  INFO [aps-server,,,] 23580 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_APS-SERVER/windows10.microdone.cn:aps-server:3111 - registration status: 204
2019-04-13 09:01:02.111  INFO [aps-server,,,] 23580 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2019-04-13 09:01:02.123  INFO [aps-server,,,] 23580 --- [main] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2019-04-13 09:01:02.202  WARN [aps-server,,,] 23580 --- [main] d.s.r.o.OperationImplicitParameterReader : Coercing to be of type string. This may not even be a scalar type in actuality
2019-04-13 09:01:02.275  INFO [aps-server,,,] 23580 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 3111 (http) with context path ''
2019-04-13 09:01:02.276  INFO [aps-server,,,] 23580 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 3111
2019-04-13 09:01:02.277  INFO [aps-server,,,] 23580 --- [main] com.weshare.phoenix.Application          : Started Application in 39.581 seconds (JVM running for 43.714)
2019-04-13 09:01:15.332  INFO [aps-server,,,] 23580 --- [http-nio-3111-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
